# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1072140	1073288	-							EMQ_RS04805	1149		old_locus_tag=EMQ_0964
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1072140	1073288	-	WP_010666779.1	WP_010666779.1		AI-2E family transporter			EMQ_RS04805	1149	382	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1073380	1075476	-							EMQ_RS04810	2097		old_locus_tag=EMQ_0965
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1073380	1075476	-	WP_010666778.1	WP_010666778.1		S9 family peptidase			EMQ_RS04810	2097	698	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1075596	1075928	-							EMQ_RS04815	333		old_locus_tag=EMQ_0966
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1075596	1075928	-	WP_010666777.1	WP_010666777.1		hypothetical protein			EMQ_RS04815	333	110	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1076071	1077117	-							EMQ_RS04820	1047		old_locus_tag=EMQ_0967
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1076071	1077117	-	WP_010666776.1	WP_010666776.1		aldo/keto reductase			EMQ_RS04820	1047	348	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1077435	1078394	-							EMQ_RS04825	960		old_locus_tag=EMQ_0968
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1077435	1078394	-	WP_010667041.1	WP_010667041.1		rhodanese-related sulfurtransferase			EMQ_RS04825	960	319	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1078381	1079205	-							EMQ_RS04830	825		old_locus_tag=EMQ_0969
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1078381	1079205	-	WP_018308375.1	WP_018308375.1		ATP-binding cassette domain-containing protein			EMQ_RS04830	825	274	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1079237	1080286	-							EMQ_RS04835	1050		old_locus_tag=EMQ_0970
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1079237	1080286	-	WP_010667039.1	WP_010667039.1		ABC transporter permease			EMQ_RS04835	1050	349	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1080538	1081923	+							EMQ_RS04840	1386		old_locus_tag=EMQ_0971
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1080538	1081923	+	WP_010667038.1	WP_010667038.1		transglycosylase SLT domain-containing protein			EMQ_RS04840	1386	461	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1081969	1082517	+							EMQ_RS04845	549		old_locus_tag=EMQ_0972
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1081969	1082517	+	WP_010667037.1	WP_010667037.1		peroxiredoxin			EMQ_RS04845	549	182	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1082538	1083074	-							EMQ_RS04850	537		old_locus_tag=EMQ_0973
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1082538	1083074	-	WP_010667036.1	WP_010667036.1		hypothetical protein			EMQ_RS04850	537	178	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1083413	1084588	-					hemW		EMQ_RS04855	1176		old_locus_tag=EMQ_0974
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1083413	1084588	-	WP_010667035.1	WP_010667035.1		radical SAM family heme chaperone HemW	hemW		EMQ_RS04855	1176	391	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1084616	1086607	-							EMQ_RS04860	1992		old_locus_tag=EMQ_0975
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1084616	1086607	-	WP_010667034.1	WP_010667034.1		potassium transporter Kup			EMQ_RS04860	1992	663	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1086707	1087396	-							EMQ_RS04865	690		old_locus_tag=EMQ_0976
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1086707	1087396	-	WP_026200198.1	WP_026200198.1		YggS family pyridoxal phosphate-dependent enzyme			EMQ_RS04865	690	229	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1087643	1088509	+							EMQ_RS04870	867		old_locus_tag=EMQ_0977
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1087643	1088509	+	WP_018308374.1	WP_018308374.1		sulfotransferase family protein			EMQ_RS04870	867	288	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1088531	1089532	-							EMQ_RS04875	1002		old_locus_tag=EMQ_0978
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1088531	1089532	-	WP_010667146.1	WP_010667146.1		glycosyltransferase family 2 protein			EMQ_RS04875	1002	333	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1089724	1090458	+					hisG		EMQ_RS04880	735		old_locus_tag=EMQ_0980
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1089724	1090458	+	WP_010667147.1	WP_010667147.1		ATP phosphoribosyltransferase	hisG		EMQ_RS04880	735	244	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1090515	1091807	+					hisD		EMQ_RS04885	1293		old_locus_tag=EMQ_0981
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1090515	1091807	+	WP_010667148.1	WP_010667148.1		histidinol dehydrogenase	hisD		EMQ_RS04885	1293	430	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1091938	1092156	+					infA		EMQ_RS04890	219		old_locus_tag=EMQ_0982
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1091938	1092156	+	WP_010667149.1	WP_010667149.1		translation initiation factor IF-1	infA		EMQ_RS04890	219	72	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1092172	1092810	+							EMQ_RS04895	639		old_locus_tag=EMQ_0983
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1092172	1092810	+	WP_010667150.1	WP_010667150.1		Maf family protein			EMQ_RS04895	639	212	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1092798	1093904	+							EMQ_RS04900	1107		old_locus_tag=EMQ_0984
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1092798	1093904	+	WP_010667151.1	WP_010667151.1		ribonuclease E/G			EMQ_RS04900	1107	368	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1093897	1094082	+							EMQ_RS04905	186		old_locus_tag=EMQ_0985
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1093897	1094082	+	WP_010667152.1	WP_010667152.1		DNA gyrase inhibitor YacG			EMQ_RS04905	186	61	
gene	tRNA	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1094144	1094219	+							EMQ_RS04910	76		old_locus_tag=EMQ_t016
tRNA		GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1094144	1094219	+				tRNA-Phe			EMQ_RS04910	76		anticodon=GAA
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1095157	1095684	-					moaC		EMQ_RS04915	528		old_locus_tag=EMQ_0986
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1095157	1095684	-	WP_010667153.1	WP_010667153.1		cyclic pyranopterin monophosphate synthase MoaC	moaC		EMQ_RS04915	528	175	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1095942	1097183	+							EMQ_RS04920	1242		old_locus_tag=EMQ_0987
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1095942	1097183	+	WP_018308372.1	WP_018308372.1		cytochrome b N-terminal domain-containing protein			EMQ_RS04920	1242	413	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1097180	1097959	+							EMQ_RS04925	780		old_locus_tag=EMQ_0988
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1097180	1097959	+	WP_018308371.1	WP_018308371.1		ubiquinol-cytochrome c reductase			EMQ_RS04925	780	259	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1097976	1098602	+					petA		EMQ_RS04930	627		old_locus_tag=EMQ_0989
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1097976	1098602	+	WP_010667584.1	WP_010667584.1		ubiquinol-cytochrome c reductase iron-sulfur subunit	petA		EMQ_RS04930	627	208	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1098802	1099374	-							EMQ_RS04935	573		old_locus_tag=EMQ_0990
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1098802	1099374	-	WP_010667229.1	WP_010667229.1		HEPN domain-containing protein			EMQ_RS04935	573	190	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1099498	1101006	-							EMQ_RS04940	1509		old_locus_tag=EMQ_0991
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1099498	1101006	-	WP_026200197.1	WP_026200197.1		MFS transporter			EMQ_RS04940	1509	502	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1101273	1101734	+							EMQ_RS04945	462		old_locus_tag=EMQ_0992
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1101273	1101734	+	WP_018308370.1	WP_018308370.1		(2Fe-2S)-binding protein			EMQ_RS04945	462	153	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1101731	1103887	+							EMQ_RS04950	2157		old_locus_tag=EMQ_0993
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1101731	1103887	+	WP_018308369.1	WP_018308369.1		molybdopterin-dependent oxidoreductase			EMQ_RS04950	2157	718	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1103884	1105128	+							EMQ_RS04955	1245		old_locus_tag=EMQ_0994
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1103884	1105128	+	WP_010667135.1	WP_010667135.1		cytochrome c			EMQ_RS04955	1245	414	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1105209	1105808	-							EMQ_RS04960	600		old_locus_tag=EMQ_0995
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1105209	1105808	-	WP_010667136.1	WP_010667136.1		methylamine utilization protein MauD			EMQ_RS04960	600	199	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1105833	1107194	-							EMQ_RS04965	1362		old_locus_tag=EMQ_0996
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1105833	1107194	-	WP_010667137.1	WP_010667137.1		outer membrane beta-barrel protein			EMQ_RS04965	1362	453	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1107285	1107833	-							EMQ_RS04970	549		old_locus_tag=EMQ_0997
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1107285	1107833	-	WP_010667138.1	WP_010667138.1		hypothetical protein			EMQ_RS04970	549	182	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1107811	1108287	-							EMQ_RS04975	477		old_locus_tag=EMQ_0998
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1107811	1108287	-	WP_010667139.1	WP_010667139.1		cytochrome c			EMQ_RS04975	477	158	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1108314	1108874	-							EMQ_RS04980	561		old_locus_tag=EMQ_0999
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1108314	1108874	-	WP_010667141.1	WP_010667141.1		methylamine dehydrogenase light chain			EMQ_RS04980	561	186	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1108861	1109466	-							EMQ_RS04985	606		old_locus_tag=EMQ_1000
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1108861	1109466	-	WP_010667142.1	WP_010667142.1		alkyl hydroperoxide reductase			EMQ_RS04985	606	201	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1109463	1109948	-							EMQ_RS04990	486		old_locus_tag=EMQ_1001
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1109463	1109948	-	WP_232092256.1	WP_232092256.1		methylamine utilization protein MauE			EMQ_RS04990	486	161	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1110008	1111228	-							EMQ_RS04995	1221		old_locus_tag=EMQ_1002
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1110008	1111228	-	WP_231367993.1	WP_231367993.1		amine dehydrogenase			EMQ_RS04995	1221	406	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1111771	1112766	+					hemB		EMQ_RS05000	996		old_locus_tag=EMQ_1004
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1111771	1112766	+	WP_010666313.1	WP_010666313.1		porphobilinogen synthase	hemB		EMQ_RS05000	996	331	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1112964	1113911	+							EMQ_RS05005	948		old_locus_tag=EMQ_1005
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1112964	1113911	+	WP_010666312.1	WP_010666312.1		hypothetical protein			EMQ_RS05005	948	315	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1114037	1114768	+							EMQ_RS05010	732		old_locus_tag=EMQ_1006
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1114037	1114768	+	WP_018308368.1	WP_018308368.1		arginyltransferase			EMQ_RS05010	732	243	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1114964	1115644	+							EMQ_RS05015	681		old_locus_tag=EMQ_1007
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1114964	1115644	+	WP_010666310.1	WP_010666310.1		response regulator transcription factor			EMQ_RS05015	681	226	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1115772	1117346	+							EMQ_RS05020	1575		old_locus_tag=EMQ_1008
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1115772	1117346	+	WP_010666309.1	WP_010666309.1		ATP-binding protein			EMQ_RS05020	1575	524	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1117343	1117753	+							EMQ_RS05025	411		old_locus_tag=EMQ_1009
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1117343	1117753	+	WP_010666308.1	WP_010666308.1		hypothetical protein			EMQ_RS05025	411	136	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1117750	1118454	+							EMQ_RS05030	705		old_locus_tag=EMQ_1010
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1117750	1118454	+	WP_010666307.1	WP_010666307.1		SIMPL domain-containing protein			EMQ_RS05030	705	234	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1118594	1119667	-							EMQ_RS05035	1074		old_locus_tag=EMQ_1011
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1118594	1119667	-	WP_010666306.1	WP_010666306.1		DUF707 domain-containing protein			EMQ_RS05035	1074	357	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1119851	1120399	-					rfbC		EMQ_RS05040	549		
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1119851	1120399	-	WP_026200196.1	WP_026200196.1		dTDP-4-dehydrorhamnose 3,5-epimerase	rfbC		EMQ_RS05040	549	182	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1120386	1121744	-							EMQ_RS05045	1359		old_locus_tag=EMQ_1013
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1120386	1121744	-	WP_010669117.1	WP_010669117.1		NAD(P)-dependent oxidoreductase			EMQ_RS05045	1359	452	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1121807	1122586	-					rfbF		EMQ_RS05050	780		old_locus_tag=EMQ_1014
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1121807	1122586	-	WP_010669118.1	WP_010669118.1		glucose-1-phosphate cytidylyltransferase	rfbF		EMQ_RS05050	780	259	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1122685	1123752	-							EMQ_RS05055	1068		old_locus_tag=EMQ_1015
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1122685	1123752	-	WP_018308366.1	WP_018308366.1		NAD-dependent epimerase/dehydratase family protein			EMQ_RS05055	1068	355	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1124021	1124845	-							EMQ_RS05060	825		old_locus_tag=EMQ_1016
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1124021	1124845	-	WP_081617470.1	WP_081617470.1		IS5 family transposase			EMQ_RS05060	825	274	
gene	pseudogene	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1125760	1126517	+							EMQ_RS05065	758		pseudo
CDS	without_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1125760	1126517	+				IS5 family transposase			EMQ_RS05065	758		pseudo
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1126828	1126977	+							EMQ_RS05070	150		old_locus_tag=EMQ_1019
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1126828	1126977	+	WP_010666322.1	WP_010666322.1		hypothetical protein			EMQ_RS05070	150	49	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1127111	1128163	+							EMQ_RS05075	1053		old_locus_tag=EMQ_1020
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1127111	1128163	+	WP_231367992.1	WP_231367992.1		acyltransferase family protein			EMQ_RS05075	1053	350	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1128711	1129298	+							EMQ_RS05080	588		old_locus_tag=EMQ_1022
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1128711	1129298	+	WP_010666324.1	WP_010666324.1		CdiI family contact-dependent growth inhibition immunity protein			EMQ_RS05080	588	195	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1129376	1129954	-							EMQ_RS05085	579		old_locus_tag=EMQ_1023
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1129376	1129954	-	WP_010666325.1	WP_010666325.1		DJ-1/PfpI family protein			EMQ_RS05085	579	192	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1129968	1130498	-					moaB		EMQ_RS05090	531		old_locus_tag=EMQ_1024
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1129968	1130498	-	WP_010666326.1	WP_010666326.1		molybdenum cofactor biosynthesis protein B	moaB		EMQ_RS05090	531	176	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1130557	1131687	-							EMQ_RS05095	1131		old_locus_tag=EMQ_1025
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1130557	1131687	-	WP_018308364.1	WP_018308364.1		type III PLP-dependent enzyme			EMQ_RS05095	1131	376	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1132122	1133120	+							EMQ_RS05100	999		old_locus_tag=EMQ_1026
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1132122	1133120	+	WP_010668015.1	WP_010668015.1		YihY/virulence factor BrkB family protein			EMQ_RS05100	999	332	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1133359	1133886	-							EMQ_RS05105	528		old_locus_tag=EMQ_1027
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1133359	1133886	-	WP_010668819.1	WP_010668819.1		septal ring lytic transglycosylase RlpA family protein			EMQ_RS05105	528	175	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1134218	1134673	+					aroQ		EMQ_RS05110	456		old_locus_tag=EMQ_1028
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1134218	1134673	+	WP_010668754.1	WP_010668754.1		type II 3-dehydroquinate dehydratase	aroQ		EMQ_RS05110	456	151	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1134670	1135128	+					accB		EMQ_RS05115	459		old_locus_tag=EMQ_1029
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1134670	1135128	+	WP_018308363.1	WP_018308363.1		acetyl-CoA carboxylase biotin carboxyl carrier protein	accB		EMQ_RS05115	459	152	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1135128	1136471	+					accC		EMQ_RS05120	1344		old_locus_tag=EMQ_1030
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1135128	1136471	+	WP_010667930.1	WP_010667930.1		acetyl-CoA carboxylase biotin carboxylase subunit	accC		EMQ_RS05120	1344	447	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1136691	1138271	+					purH		EMQ_RS05125	1581		old_locus_tag=EMQ_1031
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1136691	1138271	+	WP_010667931.1	WP_010667931.1		bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH		EMQ_RS05125	1581	526	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1138397	1139125	+							EMQ_RS05130	729		old_locus_tag=EMQ_1032
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1138397	1139125	+	WP_018308362.1	WP_018308362.1		hypothetical protein			EMQ_RS05130	729	242	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1139260	1140072	-							EMQ_RS05135	813		old_locus_tag=EMQ_1033
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1139260	1140072	-	WP_010669214.1	WP_010669214.1		nucleotidyltransferase domain-containing protein			EMQ_RS05135	813	270	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1140263	1141018	-							EMQ_RS05140	756		old_locus_tag=EMQ_1034
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1140263	1141018	-	WP_010666453.1	WP_010666453.1		tRNA (guanine(46)-N(7))-methyltransferase TrmB			EMQ_RS05140	756	251	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1141029	1142216	-					metK		EMQ_RS05145	1188		old_locus_tag=EMQ_1035
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1141029	1142216	-	WP_010666454.1	WP_010666454.1		methionine adenosyltransferase	metK		EMQ_RS05145	1188	395	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1142364	1143170	-					dapB		EMQ_RS05150	807		old_locus_tag=EMQ_1036
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1142364	1143170	-	WP_048874279.1	WP_048874279.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		EMQ_RS05150	807	268	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1143310	1144671	-					cls		EMQ_RS05155	1362		old_locus_tag=EMQ_1037
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1143310	1144671	-	WP_010666456.1	WP_010666456.1		cardiolipin synthase	cls		EMQ_RS05155	1362	453	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1144796	1145191	+							EMQ_RS05160	396		old_locus_tag=EMQ_1039
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1144796	1145191	+	WP_010666457.1	WP_010666457.1		YraN family protein			EMQ_RS05160	396	131	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1145304	1145630	-							EMQ_RS05165	327		old_locus_tag=EMQ_1040
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1145304	1145630	-	WP_231367991.1	WP_231367991.1		hypothetical protein			EMQ_RS05165	327	108	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1145835	1146170	-					grxD		EMQ_RS05170	336		old_locus_tag=EMQ_1041
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1145835	1146170	-	WP_010666459.1	WP_010666459.1		Grx4 family monothiol glutaredoxin	grxD		EMQ_RS05170	336	111	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1146248	1146478	-							EMQ_RS05175	231		old_locus_tag=EMQ_1042
CDS	with_protein	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1146248	1146478	-	WP_010666460.1	WP_010666460.1		BolA family transcriptional regulator			EMQ_RS05175	231	76	
gene	protein_coding	GCF_000193495.2	Primary Assembly	chromosome		NZ_AP023410.1	1146524	1148734	-					purL		EMQ_RS05180	2211		old_locus_tag=EMQ_1043
